Script,Buy Value,Sym P/E,Div Yield,Buy % Change,Sell % Change,Sell 52W High,Buy 52W High,Rank
TATAPOWER,227,25,1,-8,8,95,50,7
TEGA,381.36,25,1,-8,8,95,50,7
THYROCARE,500,25,1,-8,8,95,50,7
TIINDIA,1676,25,1,-8,8,95,50,7
TORNTPHARM,935.4,25,1,-8,8,95,50,7
TRIDENT,38,25,1,-8,8,95,50,7
TTKPRESTIG,780,25,1,-8,8,95,50,7
TVSHLTD,3828,25,1,-8,8,95,50,7
TVSMOTOR,1307,25,1,-8,8,95,50,7
UFLEX,578,25,1,-8,8,95,50,7
ULTRACEMCO,6753,25,1,-8,8,95,50,7
UPL,777.8,25,1,-8,8,95,50,7
UTIAMC,700,25,1,-8,8,95,50,7
VAKRANGEE,15.5,25,1,-8,8,95,50,7
VALIANTORG,450,25,1,-8,8,95,50,7
VGUARD,150.51,25,1,-8,8,95,50,7
VIJAYA,281.46,25,1,-8,8,95,50,7
VINATIORGA,1700,25,1,-8,8,95,50,7
VIPIND,670,25,1,-8,8,95,50,7
VIRINCHI,30.36,25,1,-8,8,95,50,7
VOLTAS,1217,25,1,-8,8,95,50,7
VTL,300,25,1,-8,8,95,50,7
WELINV,353,25,1,-8,8,95,50,7
YESBANK,21.8,25,1,-8,8,95,50,7
ZEEL,167.79,25,1,-8,8,95,50,7
ZOMATO,87.5,25,1,-8,8,95,50,7
ZYDUSWELL,1350,25,1,-8,8,95,50,7
ADANIENT,2009,25,1,-8,8,95,50,7
ADANIPORTS,704,25,1,-8,8,95,50,7
AETHER,803,25,1,-8,8,95,50,7
AFFLE,803,25,1,-8,8,95,50,7
BAJAJ-AUTO,4700,25,1,-8,8,95,50,7
BIOCON,245,25,1,-8,8,95,50,7
BLUESTARCO,704,25,1,-8,8,95,50,7
CGCL,704,25,1,-8,8,95,50,7
CARBORUNIV,983,25,1,-8,8,95,50,7
CLEAN,1100,25,1,-8,8,95,50,7
COFORGE,4700,25,1,-8,8,95,50,7
CONCORDBIO,938,25,1,-8,8,95,50,7
CROMPTON,227,25,1,-8,8,95,50,7
DELHIVERY,335,25,1,-8,8,95,50,7
LALPATHLAB,1784,25,1,-8,8,95,50,7
FACT,443,25,1,-8,8,95,50,7
GRINDWELL,1845,25,1,-8,8,95,50,7
JWL,280,25,1,-8,8,95,50,7
KIOCL,283,25,1,-8,8,95,50,7
KPITTECH,990,25,1,-8,8,95,50,7
KIMS,1784,25,1,-8,8,95,50,7
LLOYDS,74,25,1,-8,8,95,50,7
MANKIND,1550,25,1,-8,8,95,50,7
MAXHEALTH,542,25,1,-8,8,95,50,7
METROBRAND,990,25,1,-8,8,95,50,7
PAYTM,704,25,1,-8,8,95,50,7
POLICYBZR,560,25,1,-8,8,95,50,7
PERSISTENT,5420,25,1,-8,8,95,50,7
RHIM,686,25,1,-8,8,95,50,7
SONATSOFTW,992,25,1,-8,8,95,50,7
TATAELXSI,6500,25,1,-8,8,95,50,7
TEJASNET,758,25,1,-8,8,95,50,7
WIPRO,407,25,1,-8,8,95,50,7
